excel_row,source_code,proquest_no_result_reason,description
3657,79-Hhpul-t.25,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3658,79-Hhpul-t.29,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3659,79-Hhpul-t.30,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3660,79-Hhpul-t.31,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3661,79-Hhpul-t.32,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3682,79-S261-45,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3771,79-Ssag-t.35,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3772,79-Ssir-t.2,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3773,79-Ssir-t.3,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3774,79-Ssir-t.7,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3822,80-H161-11,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3824,80-H161-20,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3839,80-H241-20,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3854,80-H401-36,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3877,80-H441-8,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3879,80-H501-1,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3886,80-H501-116,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3898,80-H501-25,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3911,80-H501-55,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3943,80-H641-19,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3957,80-H701-40,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
3986,80-Hhag-t.3,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3987,80-Hhag-t.9,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3988,80-Hhars-t.56,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3989,80-Hhj-t.44,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3990,80-Hhlnt-t.102,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3991,80-Hhlnt-t.103,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3992,80-Hhlnt-t.21,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3993,80-Hhlnt-t.3,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3994,80-Hhlnt-t.72,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3995,80-Hhlnt-t.98,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3996,80-Hhme-t.14,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3997,80-Hhme-t.15,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3998,80-Hhme-t.19,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
3999,80-Hhme-t.20,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4000,80-Hhme-t.25,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4001,80-Hhme-t.56,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4002,80-Hhme-t.57,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4003,80-Hhme-t.59,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4004,80-Hhme-t.60,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4005,80-Hhpoc-t.25,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4006,80-Hhpul-t.1,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4007,80-Hhpul-t.134,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4008,80-Hhpul-t.137,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4009,80-Hhpul-t.14,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4010,80-Hhpul-t.15,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4011,80-Hhpul-t.150,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4012,80-Hhpul-t.151,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4013,80-Hhpul-t.160,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4014,80-Hhpul-t.161,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4015,80-Hhpul-t.178,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4016,80-Hhpul-t.181,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4017,80-Hhpul-t.182,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4018,80-Hhpul-t.193,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4019,80-Hhpul-t.202,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4020,80-Hhpul-t.205,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4021,80-Hhpul-t.208,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4022,80-Hhpul-t.209,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4023,80-Hhpul-t.227,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4024,80-Hhpul-t.231,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4025,80-Hhpul-t.232,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4026,80-Hhpul-t.233,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4027,80-Hhpul-t.234,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4028,80-Hhpul-t.245,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4029,80-Hhpul-t.246,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4030,80-Hhpul-t.247,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4031,80-Hhpul-t.255,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4032,80-Hhpul-t.256,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4033,80-Hhpul-t.264,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4034,80-Hhpul-t.274,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4035,80-Hhpul-t.288,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4036,80-Hhpul-t.289,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4037,80-Hhpul-t.29,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4038,80-Hhpul-t.297,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4039,80-Hhpul-t.298,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4040,80-Hhpul-t.309,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4041,80-Hhpul-t.320,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4042,80-Hhpul-t.321,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4043,80-Hhpul-t.334,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4044,80-Hhpul-t.335,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4045,80-Hhpul-t.347,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4046,80-Hhpul-t.348,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4047,80-Hhpul-t.386,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4048,80-Hhpul-t.387,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4049,80-Hhpul-t.40,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4050,80-Hhpul-t.400,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4051,80-Hhpul-t.401,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4052,80-Hhpul-t.407,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4053,80-Hhpul-t.41,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4054,80-Hhpul-t.425,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4055,80-Hhpul-t.433,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4056,80-Hhpul-t.434,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4057,80-Hhpul-t.464,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4058,80-Hhpul-t.470,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4059,80-Hhpul-t.472,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4060,80-Hhpul-t.473,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4061,80-Hhpul-t.477,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4062,80-Hhpul-t.478,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4063,80-Hhpul-t.479,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4064,80-Hhpul-t.480,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4065,80-Hhpul-t.481,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4066,80-Hhpul-t.492,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4067,80-Hhpul-t.504,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4068,80-Hhpul-t.505,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4069,80-Hhpul-t.506,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4070,80-Hhpul-t.512,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4071,80-Hhpul-t.513,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4072,80-Hhpul-t.516,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4073,80-Hhpul-t.517,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4074,80-Hhpul-t.526,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4075,80-Hhpul-t.53,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4076,80-Hhpul-t.531,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4077,80-Hhpul-t.532,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4078,80-Hhpul-t.538,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4079,80-Hhpul-t.54,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4080,80-Hhpul-t.545,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4081,80-Hhpul-t.546,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4082,80-Hhpul-t.55,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4083,80-Hhpul-t.552,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4084,80-Hhpul-t.554,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4085,80-Hhpul-t.555,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4086,80-Hhpul-t.56,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4087,80-Hhpul-t.596,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4088,80-Hhpul-t.609,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4089,80-Hhpul-t.627,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4090,80-Hhpul-t.633,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4091,80-Hhpul-t.635,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4092,80-Hhpul-t.638,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4093,80-Hhpul-t.639,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4094,80-Hhpul-t.640,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4095,80-Hhpul-t.652,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4096,80-Hhpul-t.76,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4097,80-Hhpw-t.3,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4098,80-Hhpw-t.9,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4099,80-Hhru-t.116,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4100,80-Hhru-t.120,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4101,80-Hhru-t.129,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4102,80-Hhru-t.146,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4103,80-Hhru-t.149,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4104,80-Hhru-t.151,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4105,80-Hhru-t.160,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4106,80-Hhru-t.168,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4107,80-Hhru-t.179,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4108,80-Hhru-t.43,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4109,80-Hhru-t.46,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4110,80-Hhru-t.87,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4111,80-J812-1,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4115,80-J872-1,3,Joint Committee on Atomic Energy: the master metadata identifies a joint committee record with committee1 = 308.
4116,80-Jjato-t.29,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4117,80-Jjato-t.42,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4133,80-S261-55,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4154,80-S311-31,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4176,80-S311-58,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4180,80-S311-61,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4239,80-S721-34,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4271,80-Ssb-t.53,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4272,80-Ssb-t.76,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4273,80-Ssinf-t.19,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4274,80-Ssinf-t.29,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4275,80-Ssini-t.14,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4276,80-Ssini-t.15,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4277,80-Ssini-t.17,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4278,80-Ssini-t.18,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4279,80-Ssini-t.24,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4280,80-Ssini-t.25,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4281,80-Ssini-t.26,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4282,80-Ssini-t.28,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4283,80-Ssini-t.3,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4284,80-Ssini-t.31,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4285,80-Ssini-t.34,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4286,80-Ssini-t.37,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4287,80-Ssini-t.39,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4288,80-Ssini-t.5,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4289,80-Ssini-t.6,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4290,80-Ssini-t.7,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4291,80-Ssj-t.154,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4292,80-Sslnf-1,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4293,80-Sspoc-1,4,"Other: no permalink was found, but the record is not unpublished, is not missing a title, and is not Joint Committee on Atomic Energy."
4294,80-Sspub-t.16,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4295,80-Sspub-t.17,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4296,80-Sspub-t.18,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4297,80-Sspub-t.19,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4298,80-Sspub-t.26,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4299,80-Sspub-t.30,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4300,80-Sspub-t.40,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4301,80-Sspub-t.42,1,"Unpublished: the master field unpublished = 1, meaning a printed transcript was not produced for ProQuest to index."
4330,81-H1295-31,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4331,81-H1296-18,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4332,81-H1296-72,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
4344,81-H161-20,2,"Incomplete/not-found record: unpublished is not 1, but the master hearing title is blank."
